Title,Author,Published Year,ISBN,Age Range,Book Format,Current Price,Image
En ganska otrevlig elefant,David Walliams,2014,9789132165016,3-6,"inbunden, ",108 kr,https://s2.adlibris.com/images/12696494/en-ganska-otrevlig-elefant.jpg
Äntligen bajs!,Camilla Lundsten,2010,9789129674538,0-3,"board book, ",61 kr,https://s1.adlibris.com/images/284897/antligen-bajs.jpg
Nasse hittar en stol,Sven Nordqvist,2017,9789172998988,3-6,"inbunden, ",54 kr,https://s2.adlibris.com/images/29249333/nasse-hittar-en-stol.jpg
Petter och hans fyra getter,Einar Norelius,2007,9789172215023,0-3,"inbunden, ",53 kr,https://s2.adlibris.com/images/32837/petter-och-hans-fyra-getter.jpg
Pettson tältar,Sven Nordqvist,1998,9789172706637,6-9,"inbunden, ",85 kr,https://s1.adlibris.com/images/3218/pettson-taltar.jpg
Älvsommar,Mårten Sandén,2017,9789129703351,3-6,"inbunden, ",138 kr,https://s1.adlibris.com/images/29312714/alvsommar.jpg
Billy på sjukhus,Birgitta Stenberg,2014,9789163877674,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/63333/billy-pa-sjukhus.jpg
Historien om någon,Åke Löfgren,1988,9789129486339,3-6,"kartonnage, ",61 kr,https://s1.adlibris.com/images/31644/historien-om-nagon.jpg
Elefanten som så gärna ville somna : en annorlunda godnattsaga,Carl-Johan Forssén Ehrlin,2016,9789188375001,3-6,"inbunden, ",161 kr,https://s2.adlibris.com/images/25756871/elefanten-som-sa-garna-ville-somna-en-annorlunda-godnattsaga.jpg
Prick och Fläck tandtrollar,Lotta Geffenblad,2011,9789163868962,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/135079/prick-och-flack-tandtrollar.jpg
Innan jag fanns,Petrus Dahlin,2015,9789163884665,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/16339224/innan-jag-fanns.jpg
Välkommen Pelle Svanslös,Gösta Knutsson,2016,9789163888175,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/21834563/valkommen-pelle-svanslos.jpg
Herr Pinnemans äventyr,Julia Donaldson,2013,9789150115888,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/37628/herr-pinnemans-aventyr.jpg
Kanel och Kanin och alla känslorna,Ulf Stark,2017,9789172217508,3-6,"inbunden, ",53 kr,https://s2.adlibris.com/images/28029500/kanel-och-kanin-och-alla-kanslorna.jpg
Det var en gång... Massor av dinosaurier,Sarah Sheppard,2008,9789163850332,3-6,"inbunden, ",99 kr,https://s1.adlibris.com/images/284908/det-var-en-gang-massor-av-dinosaurier.jpg
Alla får åka med,Anna-Clara Tidholm,2015,9789150117264,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/15765793/alla-far-aka-med.jpg
Alla tre slutar med napp,Maria Nilsson Thore,2016,9789163887888,0-3,"inbunden, ",61 kr,https://s1.adlibris.com/images/21858596/alla-tre-slutar-med-napp.jpg
Skrot-Nisse,Jan Lööf,2005,9789163846670,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/40211/skrot-nisse.jpg
Nicke på zoo,Margret Rey,2010,9789129674118,0-3,"board book, ",57 kr,https://s2.adlibris.com/images/136779/nicke-pa-zoo.jpg
Super-Charlie och gosedjurstjuven,Camilla Läckberg,2013,9789174018752,3-6,"inbunden, ",57 kr,https://s2.adlibris.com/images/37093/super-charlie-och-gosedjurstjuven.jpg
Nu är det sent!,Emma Adbåge,2015,9789129695601,0-3,"inbunden, ",111 kr,https://s2.adlibris.com/images/16727516/nu-ar-det-sent.jpg
Örnis bilar,Carl Johan De Geer,2009,9789163863424,3-6,"kartonnage, ",61 kr,https://s2.adlibris.com/images/32803/ornis-bilar.jpg
Knacka på!,Anna-Clara Tidholm,1992,9789177123354,0-3,"inbunden, ",61 kr,https://s2.adlibris.com/images/284888/knacka-pa.jpg
"Och nu så vill jag sjunga : 30 sånger om Pippi, Emil, Madicken och alla de andra",Astrid Lindgren,2014,9789129691085,3-6,"inbunden, ",243 kr,https://s2.adlibris.com/images/12624946/och-nu-sa-vill-jag-sjunga-30-sanger-om-pippi-emil-madicken-och-alla-de-andra.jpg
"Du och jag, min skatt. Ettåringen",-,2013,9789163876462,0-3,"inbunden, ",153 kr,https://s1.adlibris.com/images/24583/du-och-jag-min-skatt-ettaringen.jpg
"Raska på, Alfons Åberg!",Gunilla Bergström,2009,9789129671254,3-6,"kartonnage, ",59 kr,https://s2.adlibris.com/images/32273/raska-pa-alfons-aberg.jpg
Gittan gömmer bort sej,Pija Lindenbaum,2013,9789129689723,3-6,"kartonnage, ",61 kr,https://s1.adlibris.com/images/3595/gittan-gommer-bort-sej.jpg
